,city,state,room_type,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,review_scores_rating
51671,NEW ORLEANS,LA,Entire home/apt,0,1,0,2,1125,96
51672,BROOKLYN,NY,Entire home/apt,500,6,25,5,1124,100
51673,LONG BEACH,CA,Entire home/apt,375,2,50,30,90,95
51674,LOS ANGELES,CA,Entire home/apt,500,1,0,3,1125,99
51675,BROOKLYN,NY,Entire home/apt,0,2,0,1,1125,93
51676,KAILUA KONA,HI,Entire home/apt,500,1,0,3,1125,97
51677,NEW YORK,NY,Private room,100,1,15,4,1125,92
51678,NASHVILLE,TN,Entire home/apt,0,4,0,3,1124,98
51679,PORTLAND,OR,Entire home/apt,0,1,0,30,30,99
51680,AUSTIN,TX,Entire home/apt,0,1,0,1,21,92
51681,BROOKLYN,NY,Entire home/apt,0,1,0,2,1125,100
51682,NEW YORK,NY,Private room,300,1,30,1,1125,83
51683,BROOKLYN,NY,Entire home/apt,200,1,0,2,1125,97
51684,LAWNDALE,CA,Entire home/apt,0,1,0,1,30,98
51685,BROOKLYN,NY,Private room,299,6,25,3,1125,70
51686,NEW YORK,NY,Private room,0,1,27,1,14,98
51687,AUSTIN,TX,Entire home/apt,0,3,10,2,1125,100
51688,SEATTLE,WA,Entire home/apt,100,1,0,180,1125,100
51689,THE BRONX,NY,Private room,0,1,10,1,365,80
51690,KAILUA,HI,Entire home/apt,1000,8,20,30,1125,97
51691,SAN FRANCISCO,CA,Entire home/apt,0,2,50,2,21,97
51692,CHICAGO,IL,Entire home/apt,0,4,0,3,90,98
51693,DENVER,CO,Entire home/apt,200,1,0,1,1125,96
51694,CHICAGO,IL,Private room,95,2,20,2,90,100
51695,WASHINGTON,DC,Private room,0,2,0,7,14,100
51696,PORTLAND,OR,Entire home/apt,100,2,200,3,90,98
51697,KOLOA,HI,Entire home/apt,483,1,0,3,1125,95
51698,BROOKLYN,NY,Entire home/apt,100,10,25,5,28,96
51699,LOS ANGELES,CA,Private room,0,1,10,30,365,98
51700,SAN JOSE,CA,Entire home/apt,0,1,0,4,130,100
51701,BROOKLYN,NY,Private room,100,1,5,7,30,90
51702,AUSTIN,TX,Entire home/apt,0,6,50,30,1125,100
51703,WEST HOLLYWOOD,CA,Entire home/apt,1000,2,15,1,180,99
51704,NEW YORK,NY,Entire home/apt,250,1,25,5,20,97
51705,SANTA CLARA,CA,Private room,0,1,0,1,30,100
51706,BROOKLYN,NY,Entire home/apt,0,1,0,2,60,95
51707,NEW YORK,NY,Entire home/apt,100,1,0,9,1125,98
51708,HAUULA,HI,Entire home/apt,500,1,0,3,1125,100
51709,NORTH HOLLYWOOD ,CA,Entire home/apt,0,4,20,1,1125,79
51710,LOS ANGELES,CA,Private room,100,1,40,30,1125,100
51711,BROOKLYN,NY,Entire home/apt,0,1,0,2,30,92
51712,BROOKLYN,NY,Entire home/apt,0,1,50,30,90,95
51713,NEW ORLEANS,LA,Entire home/apt,0,8,0,1,1125,98
51714,LOS ANGELES,CA,Entire home/apt,450,1,15,21,45,98
51715,SAN FRANCISCO,CA,Entire home/apt,100,4,50,1,1125,99
51716,NEW ORLEANS,LA,Entire home/apt,250,6,15,30,1125,87
51717,WASHINGTON,DC,Entire home/apt,0,2,0,1,179,96
51718,LAHAINA,HI,Entire home/apt,0,1,0,3,30,100
51719,LOS ANGELES,CA,Entire home/apt,1000,8,50,2,1125,97
51720,BOSTON,MA,Entire home/apt,300,2,35,91,1125,96
51721,ASTORIA ,NY,Private room,500,1,30,1,1125,100
51722,PORTLAND,OR,Private room,0,1,0,2,1125,80
51723,DALY CITY,CA,Entire home/apt,0,2,50,2,1125,100
51724,KAPAA,HI,Entire home/apt,0,1,0,6,14,60
51725,SAN JOSE,CA,Entire home/apt,0,5,20,2,14,89
51726,HANALEI,HI,Entire home/apt,0,1,0,3,1125,94
51727,NEW YORK,NY,Entire home/apt,0,1,0,5,1125,100
51728,AUSTIN,TX,Entire home/apt,0,1,0,2,1125,99
51729,CHICAGO,IL,Private room,0,2,15,3,60,95
51730,WASHINGTON,DC,Entire home/apt,0,1,30,1,1125,79
51731,MONROVIA,CA,Private room,0,1,0,6,365,100
51732,LOS ANGELES,CA,Private room,0,1,5,1,27,80
51733,BROOKLYN,NY,Private room,500,2,15,2,3,99
51734,LOS ANGELES,CA,Private room,500,2,0,5,14,97
51735,LOS ANGELES,CA,Entire home/apt,0,1,0,3,1125,100
51736,LOS ANGELES,CA,Entire home/apt,5000,1,0,7,1125,100
51737,BEVERLY HILLS,CA,Entire home/apt,250,2,10,1,365,100
51738,SANTA CRUZ,CA,Entire home/apt,800,2,0,3,14,99
51739,CHICAGO,IL,Entire home/apt,300,1,0,2,1125,100
51740,PRINCEVILLE,HI,Entire home/apt,250,5,40,1,21,96
51741,SAN FRANCISCO,CA,Entire home/apt,500,2,25,30,365,99
51742,NEW ORLEANS,LA,Entire home/apt,0,1,0,3,31,98
51743,SAN FRANCISCO,CA,Entire home/apt,0,1,0,30,1125,97
51744,KAILUA-KONA,HI,Entire home/apt,0,1,0,1,90,100
51745,LAHAINA,HI,Entire home/apt,0,1,0,3,180,83
51746,SAN DIEGO,CA,Private room,100,1,25,6,120,100
51747,SEATTLE,WA,Entire home/apt,500,4,10,2,14,100
51748,NASHVILLE,TN,Entire home/apt,300,1,0,1,365,100
51749,BROOKLYN,NY,Entire home/apt,600,1,0,3,1125,99
51750,BROOKLYN,NY,Entire home/apt,0,4,20,3,25,97
51751,NEW YORK,NY,Entire home/apt,0,1,0,6,60,84
51752,NEW YORK,NY,Entire home/apt,150,2,20,3,14,96
51753,MOUNTAIN VIEW,CA,Private room,300,1,50,3,1125,96
51754,BROOKLYN,NY,Entire home/apt,150,2,10,3,1125,85
51755,BOULDER CREEK,CA,Entire home/apt,300,1,0,2,1125,98
51756,WASHINGTON,DC,Entire home/apt,0,1,0,3,1125,98
51757,CHICAGO,IL,Entire home/apt,300,2,5,2,1125,99
51758,QUEENS,NY,Private room,0,2,20,1,1125,93
51759,NEW YORK,NY,Entire home/apt,0,1,0,2,1125,96
51760,MONTE SERENO,CA,Entire home/apt,0,1,0,5,1125,100
51761,WALNUT,CA,Private room,300,2,49,3,1125,100
51762,SAN DIEGO,CA,Entire home/apt,100,2,25,2,1125,92
51763,NEW YORK,NY,Entire home/apt,0,2,20,3,62,94
51764,BROOKLYN,NY,Private room,100,1,0,3,1125,96
51765,LOS ANGELES,CA,Private room,0,1,10,3,1125,100
51766,SANTA CLARA,CA,Private room,0,1,10,1,30,99
51767,HONOLULU,HI,Entire home/apt,400,1,0,29,1124,97
51768,NEW YORK,NY,Private room,500,2,50,5,30,96
51769,HONOLULU,HI,Entire home/apt,300,2,20,2,1125,98
51770,LONG BEACH,CA,Private room,0,1,10,2,1125,91
51771,OAKLAND,CA,Entire home/apt,0,3,15,2,21,94
51772,PORTLAND,OR,Entire home/apt,400,8,44,3,1125,98
51773,BOSTON,MA,Entire home/apt,999,1,0,10,1125,100
51774,ARCADIA,CA,Private room,0,2,15,1,1125,95
51775,NEW YORK,NY,Entire home/apt,0,1,0,2,1125,99
51776,COLUMBUS,OH,Entire home/apt,0,1,0,2,40,100
51777,CULVER CITY,CA,Entire home/apt,1000,2,0,2,21,94
51778,DORCHESTER,MA,Private room,0,1,0,91,1125,60
51779,HONOLULU,HI,Entire home/apt,0,1,0,30,1125,80
