,city,state,room_type,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,review_scores_rating
3893,BRONX,NY,Private room,0,1,10,5,30,98
3894,NASHVILLE,TN,Entire home/apt,0,4,0,30,1125,100
3895,LA JOLLA ,CA,Private room,200,2,75,2,4,100
3896,NEW ORLEANS,LA,Entire home/apt,100,2,25,1,30,99
3897,LOS ANGELES,CA,Entire home/apt,350,1,20,30,1125,97
3898,AUSTIN,TX,Entire home/apt,0,6,0,2,1125,100
3899,SAN DIEGO,CA,Entire home/apt,400,1,0,3,1125,89
3900,SEATTLE,WA,Entire home/apt,0,1,5,2,1125,100
3901,NEW YORK,NY,Entire home/apt,0,2,15,1,5,95
3902,LA JOLLA,CA,Entire home/apt,1000,6,0,1,1125,90
3903,BOSTON,MA,Private room,0,1,35,1,1125,95
3904,BROOKLYN,NY,Entire home/apt,0,1,0,10,55,100
3905,HONOLULU,HI,Private room,0,1,0,1,14,100
3906,AUSTIN,TX,Entire home/apt,150,4,25,2,14,97
3907,SAINT PAUL,MN,Private room,0,1,0,2,7,90
3908,BROOKLYN,NY,Private room,300,1,30,2,90,97
3909,BOSTON,MA,Entire home/apt,100,1,10,29,1125,100
3910,NASHVILLE,TN,Entire home/apt,100,2,10,1,1124,100
3911,MAUNALOA,HI,Entire home/apt,100,1,0,3,60,93
3912,SAN DIEGO,CA,Entire home/apt,0,5,100,2,1125,97
3913,WASHINGTON,DC,Private room,150,1,0,1,1125,92
3914,NEW YORK,NY,Entire home/apt,500,1,0,4,1125,100
3915,BROOKLYN,NY,Private room,0,1,15,4,25,100
3916,BROOKLYN,NY,Private room,0,1,5,3,1125,94
3917,CHICAGO,IL,Entire home/apt,250,5,20,2,1125,97
3918,COLUMBUS,OH,Entire home/apt,0,1,0,1,1125,99
3919,"FORT GREENE, BROOKLYN",NY,Entire home/apt,250,2,25,4,28,98
3920,SANTA CRUZ,CA,Entire home/apt,0,8,0,1,90,98
3921,KIHEI,HI,Entire home/apt,250,1,0,1,1125,96
3922,QUEENS,NY,Private room,0,1,0,30,1125,100
3923,LOS ANGELES,CA,Entire home/apt,500,8,35,3,10,100
3924,WEST LAKE HILLS,TX,Entire home/apt,500,1,0,2,1125,98
3925,LOS ANGELES,CA,Entire home/apt,150,2,0,2,1125,90
3926,SAN DIEGO,CA,Private room,200,1,0,2,30,95
3927,NEW YORK,NY,Private room,0,1,0,1,1125,92
3928,LAHAINA,HI,Entire home/apt,200,1,0,5,45,100
3929,HONOLULU,HI,Entire home/apt,0,1,0,2,21,100
3930,PORTLAND,OR,Private room,0,1,20,2,84,97
3931,BOSTON,MA,Entire home/apt,100,1,0,2,8,97
3932,PORTLAND,OR,Entire home/apt,150,1,0,2,14,99
3933,CHICAGO,IL,Entire home/apt,0,4,20,1,1125,98
3934,NEW YORK,NY,Entire home/apt,150,2,25,45,365,92
3935,SAN FRANCISCO,CA,Private room,200,1,0,1,1125,88
3936,NEW YORK,NY,Entire home/apt,500,1,0,3,14,100
3937,NASHVILLE,TN,Entire home/apt,200,3,25,1,30,96
3938,BROOKLYN,NY,Entire home/apt,0,2,20,3,1125,100
3939,NEW YORK,NY,Private room,500,1,10,2,21,92
3940,NEW ORLEANS,LA,Entire home/apt,250,1,0,2,1125,100
3941,MINNEAPOLIS,MN,Entire home/apt,500,2,25,2,30,97
3942,PORTLAND,OR,Private room,0,2,10,30,1125,96
3943,EL MONTE,CA,Private room,0,1,10,2,1125,90
3944,AUSTIN,TX,Entire home/apt,100,3,25,1,1125,97
3945,SAN DIEGO,CA,Entire home/apt,0,4,15,1,20,99
3946,PORTLAND,OR,Entire home/apt,100,8,25,1,1125,98
3947,BROOKLYN,NY,Private room,0,1,30,3,1125,100
3948,NASHVILLE,TN,Entire home/apt,0,1,0,2,1125,100
3949,SAN FRANCISCO,CA,Private room,0,2,12,1,1125,88
3950,SAN FRANCISCO,CA,Entire home/apt,500,2,20,30,1125,100
3951,NEW ORLEANS,LA,Entire home/apt,0,2,25,2,50,96
3952,INGLEWOOD,CA,Private room,250,2,15,2,5,100
3953,SAN DIEGO,CA,Entire home/apt,1000,16,0,1,1125,100
3954,LOS ANGELES,CA,Entire home/apt,0,1,20,1,25,100
3955,NEW YORK,NY,Entire home/apt,0,3,100,2,7,97
3956,OAKLAND,CA,Entire home/apt,0,3,25,2,1125,100
3957,BROOKLYN,NY,Hotel room,0,4,0,3,1125,90
3958,LOS ANGELES,CA,Entire home/apt,300,2,25,31,180,89
3959,NEW YORK,NY,Entire home/apt,100,1,0,3,1125,96
3960,KIHEI,HI,Entire home/apt,0,4,0,2,1125,100
3961,NASHVILLE,TN,Private room,0,1,0,2,1125,98
3962,NEW YORK,NY,Entire home/apt,0,1,0,5,10,60
3963,SEATTLE,WA,Entire home/apt,300,2,20,30,1125,97
3964,SEATTLE,WA,Private room,0,2,0,1,7,98
3965,AUSTIN,TX,Private room,200,1,0,31,1125,100
3966,LOS ANGELES,CA,Entire home/apt,0,1,20,1,26,99
3967,WASHINGTON,DC,Entire home/apt,0,12,15,1,1125,97
3968,CHICAGO,IL,Entire home/apt,400,4,15,2,365,99
3969,LONG BEACH,CA,Entire home/apt,0,1,0,7,1125,100
3970,BROOKLYN,NY,Entire home/apt,1000,5,45,16,90,88
3971,WASHINGTON,DC,Entire home/apt,0,1,0,2,1125,100
3972,SAN DIEGO,CA,Entire home/apt,1000,1,0,60,1125,98
3973,NEW ORLEANS,LA,Entire home/apt,250,2,25,30,1125,99
3974,LOS ANGELES,CA,Entire home/apt,0,1,0,30,1125,90
3975,VIEW PARK-WINDSOR HILLS,CA,Entire home/apt,150,3,29,2,40,98
3976,NEW YORK,NY,Entire home/apt,0,1,0,2,1125,89
3977,BROOKLYN,NY,Entire home/apt,1000,2,15,2,14,100
3978,LOS ANGELES,CA,Entire home/apt,0,1,15,3,1125,89
3979,MINNEAPOLIS,MN,Entire home/apt,500,6,50,2,10,100
3980,SEATTLE,WA,Private room,0,1,0,2,30,97
3981,SAN DIEGO,CA,Entire home/apt,500,1,0,4,30,97
3982,NEW YORK,NY,Private room,95,1,30,1,1125,80
3983,MANHATTAN BEACH,CA,Entire home/apt,0,4,25,30,1125,99
3984,NEW YORK,NY,Private room,0,1,0,3,1125,84
3985,LA SELVA BEACH,CA,Entire home/apt,5000,4,100,1,7,93
3986,SAN DIEGO,CA,Entire home/apt,500,1,0,2,28,99
3987,NEW ORLEANS,LA,Private room,500,1,15,3,30,98
3988,LAHAINA,HI,Hotel room,0,2,0,2,1125,90
3989,SAN FRANCISCO,CA,Private room,100,2,50,1,27,100
3990,GLENDALE,CA,Entire home/apt,0,1,0,3,1125,100
3991,SAN DIEGO,CA,Entire home/apt,100,1,0,7,365,95
3992,CHICAGO,IL,Entire home/apt,0,4,50,1,1125,97
3993,AUSTIN,TX,Entire home/apt,0,1,0,1,28,95
3994,LOS ANGELES,CA,Entire home/apt,250,2,10,30,1125,97
3995,NEW YORK,NY,Private room,0,2,0,1,730,95
3996,LOS ANGELES,CA,Entire home/apt,250,4,10,5,1125,92
3997,RIVERDALE ,NY,Entire home/apt,150,2,25,3,1125,99
3998,COLUMBUS,OH,Entire home/apt,0,1,0,1,1125,98
3999,KAPAA,HI,Entire home/apt,100,2,20,5,110,97
4000,CHICAGO,IL,Entire home/apt,0,1,0,1,150,94
4001,SAN DIEGO,CA,Entire home/apt,1400,3,5,1,1125,92
4002,CHANHASSEN,MN,Entire home/apt,0,8,20,3,8,100
4003,INGLEWOOD,CA,Entire home/apt,250,1,0,2,20,97
4004,LOS ANGELES,CA,Entire home/apt,222,1,12,30,365,95
4005,NEW YORK,NY,Entire home/apt,1000,1,0,2,1125,100
4006,NEW ORLEANS,LA,Entire home/apt,250,4,100,2,5,99
4007,SAN DIEGO,CA,Shared room,0,1,0,1,14,96
4008,TEMPLE CITY,CA,Private room,200,2,5,30,180,87
4009,SAN DIEGO,CA,Entire home/apt,2500,2,40,4,365,96
4010,AUSTIN,TX,Entire home/apt,1000,8,25,3,1125,100
4011,BROOKLYN,NY,Entire home/apt,0,2,25,2,15,98
4012,AUSTIN,TX,Private room,0,1,0,1,7,100
4013,DALY CITY,CA,Entire home/apt,200,8,20,1,60,96
4014,AUSTIN,TX,Entire home/apt,500,12,15,2,180,99
4015,LAHAINA,HI,Entire home/apt,1500,2,50,2,1125,97
4016,LOS ANGELES,CA,Entire home/apt,0,6,35,1,1125,90
4017,NEW YORK,NY,Private room,0,1,25,2,1125,95
4018,NEW YORK,NY,Entire home/apt,0,1,0,2,1125,91
4019,SANTA CRUZ,CA,Entire home/apt,1000,2,25,30,1125,99
4020,NEW ORLEANS,LA,Entire home/apt,175,1,0,2,90,93
4021,NASHVILLE,TN,Private room,95,2,10,1,1125,98
4022,NEW YORK,NY,Private room,0,1,0,1,1125,75
4023,AUSTIN,TX,Private room,0,1,0,1,7,100
4024,SCOTTS VALLEY,CA,Entire home/apt,0,2,50,1,1125,100
4025,NEW ORLEANS,LA,Entire home/apt,250,6,35,2,30,97
4026,WAIKOLOA,HI,Entire home/apt,0,4,0,1,365,95
4027,PACIFICA,CA,Entire home/apt,0,2,25,1,32,97
4028,BURBANK,CA,Entire home/apt,0,2,20,2,30,98
4029,OAKLAND,CA,Entire home/apt,0,1,20,4,29,94
4030,SAINT PAUL,MN,Private room,0,1,10,1,12,100
4031,LOS ANGELES,CA,Private room,0,1,0,2,30,90
4032,PAIA,HI,Entire home/apt,500,2,25,2,1125,92
4033,LOS ANGELES,CA,Entire home/apt,200,2,10,1,25,83
4034,NEW YORK,NY,Entire home/apt,500,2,5,7,1125,97
4035,MARINA DEL REY,CA,Entire home/apt,250,4,15,2,31,89
4036,LOS ANGELES,CA,Entire home/apt,1000,1,0,5,1125,100
4037,NEW ORLEANS,LA,Entire home/apt,300,4,25,2,1125,94
4038,MOUNTAIN VIEW,CA,Entire home/apt,500,3,20,2,1125,100
4039,AUSTIN,TX,Entire home/apt,150,4,55,3,21,100
4040,SAN DIEGO,CA,Private room,0,1,10,2,14,95
4041,SAN FRANCISCO,CA,Entire home/apt,1000,1,0,30,1125,96
4042,AUSTIN,TX,Entire home/apt,100,1,0,2,1125,97
4043,PORTLAND,OR,Entire home/apt,200,1,0,2,10,98
4044,PORTLAND,OR,Private room,0,2,25,1,1125,96
4045,WASHINGTON,DC,Entire home/apt,0,5,0,2,1125,92
4046,OAKLAND,CA,Private room,100,2,300,14,29,90
4047,CHICAGO,IL,Entire home/apt,0,2,15,1,1125,94
4048,PRINCEVILLE,HI,Entire home/apt,150,1,0,2,1125,97
4049,QUEENS,NY,Entire home/apt,200,2,0,1,3,98
4050,KEKAHA,HI,Entire home/apt,0,1,0,1,1125,93
4051,MENLO PARK,CA,Entire home/apt,0,3,0,3,1125,100
4052,NEW YORK,NY,Entire home/apt,150,1,20,2,30,95
4053,OAKLAND,CA,Entire home/apt,100,2,10,7,360,96
4054,NEW YORK,NY,Entire home/apt,0,1,0,21,1125,20
4055,HONOLULU,HI,Entire home/apt,250,2,25,20,90,93
4056,CHICAGO,IL,Entire home/apt,0,1,0,2,365,100
4057,NEW YORK,NY,Entire home/apt,0,1,25,2,1125,94
4058,KURTISTOWN,HI,Entire home/apt,100,4,25,2,1125,100
4059,NEW YORK,NY,Entire home/apt,0,1,0,4,1125,80
4060,EMERALD HILLS,CA,Private room,0,2,29,7,1125,91
4061,WASHINGTON,DC,Entire home/apt,0,4,10,1,14,100
4062,LONG BEACH,CA,Private room,0,1,0,1,7,99
4063,SAN FRANCISCO,CA,Entire home/apt,0,1,0,2,27,98
4064,BROOKLYN,NY,Entire home/apt,0,1,0,7,90,96
4065,LOS ANGELES,CA,Entire home/apt,0,3,10,2,30,98
4066,KAILUA-KONA,HI,Entire home/apt,500,1,0,5,1125,100
4067,LOS ANGELES,CA,Entire home/apt,100,2,25,4,28,98
4068,WASHINGTON,DC,Entire home/apt,0,1,0,2,1125,98
4069,SAN FRANCISCO,CA,Entire home/apt,0,2,25,2,29,97
4070,DENVER,CO,Hotel room,200,2,25,1,30,97
4071,BRONX,NY,Private room,100,2,50,1,15,99
4072,LOS ANGELES,CA,Entire home/apt,500,1,0,2,1125,66
4073,AUSTIN,TX,Entire home/apt,0,2,20,1,60,95
4074,BROOKLYN,NY,Private room,0,1,0,2,1125,100
4075,CHICAGO,IL,Entire home/apt,400,2,5,4,1111,96
4076,NEW ORLEANS,LA,Entire home/apt,100,4,0,7,60,94
4077,LOS ANGELES,CA,Entire home/apt,500,4,0,1,20,100
4078,SAN GABRIEL,CA,Private room,200,2,10,7,1125,100
4079,SAN FRANCISCO,CA,Entire home/apt,0,1,0,30,1125,100
4080,CHICAGO,IL,Entire home/apt,265,2,25,2,1125,100
4081,SAN DIEGO,CA,Entire home/apt,100,4,20,3,45,98
4082,SAN FRANCISCO,CA,Private room,0,1,0,3,365,91
4083,NEW ORLEANS,LA,Entire home/apt,250,1,0,3,1125,100
4084,NEW YORK,NY,Private room,700,4,20,22,30,100
4085,KIHEI,HI,Entire home/apt,300,4,30,5,60,85
4086,PAIA,HI,Private room,125,2,0,1,1125,96
4087,SEATTLE,WA,Private room,100,1,10,1,1125,88
4088,LOS ANGELES,CA,Entire home/apt,0,6,20,1,29,97
4089,SAN DIEGO,CA,Entire home/apt,895,6,10,1,365,95
4090,SAN FRANCISCO,CA,Entire home/apt,300,2,15,3,1125,97
4091,SAN FRANCISCO,CA,Private room,500,2,30,2,29,98
4092,PASADENA,CA,Private room,110,1,25,1,322,91
4093,AUSTIN,TX,Entire home/apt,1000,1,0,2,1125,100
4094,NASHVILLE,TN,Entire home/apt,0,2,0,1,182,98
4095,QUEENS,NY,Private room,0,1,0,1,1125,99
4096,KAPAA,HI,Entire home/apt,0,1,0,2,120,98
4097,WASHINGTON,DC,Entire home/apt,0,1,0,30,1125,100
4098,PRINCEVILLE,HI,Entire home/apt,750,6,10,2,1125,97
4099,NEW YORK,NY,Entire home/apt,500,8,50,2,45,97
4100,CHICAGO,IL,Entire home/apt,100,1,0,32,1125,94
4101,AUSTIN,TX,Entire home/apt,750,1,0,2,1125,100
4102,SAN DIEGO,CA,Entire home/apt,750,1,0,2,29,100
4103,NASHVILLE,TN,Entire home/apt,0,1,0,2,1125,100
4104,NASHVILLE,TN,Entire home/apt,300,2,0,3,1125,100
4105,NASHVILLE,TN,Private room,0,1,0,1,365,98
4106,NEW YORK,NY,Entire home/apt,250,2,0,3,1125,100
4107,LAHAINA,HI,Entire home/apt,500,1,0,7,1125,100
4108,MONROVIA,CA,Entire home/apt,400,4,30,1,1125,93
4109,DENVER,CO,Entire home/apt,250,4,20,30,180,99
4110,SAN JOSE,CA,Private room,1000,1,0,2,31,100
4111,NEW YORK,NY,Private room,3500,1,50,7,180,93
4112,LOS ANGELES,CA,Entire home/apt,300,1,0,30,1000,96
4113,QUEENS ASTORIA ,NY,Entire home/apt,200,2,25,2,1125,93
4114,APTOS,CA,Entire home/apt,0,1,0,3,28,80
4115,QUEENS,NY,Private room,0,1,0,3,5,98
4116,DALY CITY,CA,Entire home/apt,1200,1,0,2,62,99
4117,DENVER,CO,Entire home/apt,300,7,25,2,31,94
4118,BOSTON,MA,Entire home/apt,500,2,100,28,91,97
4119,BROOKLYN,NY,Entire home/apt,500,1,0,4,1125,100
4120,NASHVILLE,TN,Entire home/apt,0,1,0,2,29,100
4121,SUNNYVALE,CA,Entire home/apt,0,1,0,4,1125,100
4122,LAIE,HI,Entire home/apt,0,4,25,10,1125,80
4123,SAN DIEGO,CA,Private room,0,1,15,2,7,100
4124,SAN JOSE,CA,Entire home/apt,500,3,0,1,27,100
4125,KAPAA,HI,Entire home/apt,0,3,0,4,179,100
4126,LOS ANGELES,CA,Entire home/apt,0,1,0,2,1125,100
4127,NEW YORK,NY,Entire home/apt,0,1,0,3,1125,96
4128,PORTLAND,OR,Entire home/apt,0,1,0,30,1125,100
4129,LOS ANGELES,CA,Private room,0,1,0,1,21,98
4130,PORTLAND,OR,Entire home/apt,300,4,25,3,1125,98
4131,WASHINGTON,DC,Entire home/apt,0,1,0,2,1125,94
4132,WASHINGTON,DC,Entire home/apt,250,3,20,2,60,97
4133,BROOKLYN,NY,Private room,0,1,28,1,1125,100
4134,BROOKLYN,NY,Private room,0,1,20,30,1125,100
4135,WASHINGTON,DC,Entire home/apt,100,1,0,2,14,98
4136,NEW YORK,NY,Private room,100,1,0,5,1125,93
4137,AUSTIN,TX,Private room,0,1,0,10,130,100
4138,LOS ANGELES,CA,Entire home/apt,0,8,0,1,28,93
4139,NEW YORK,NY,Entire home/apt,800,1,50,2,1125,100
4140,LAHAINA,HI,Entire home/apt,0,2,20,2,1125,100
4141,DENVER,CO,Private room,0,1,10,2,60,86
4142,LA SELVA BEACH,CA,Entire home/apt,0,1,0,2,1125,100
4143,DENVER,CO,Entire home/apt,500,1,0,30,30,99
4144,SAN DIEGO,CA,Entire home/apt,0,1,0,30,1125,95
4145,QUEENS,NY,Entire home/apt,100,4,15,2,9,94
4146,HONOLULU,HI,Entire home/apt,0,1,0,3,1125,80
4147,NEW YORK,NY,Entire home/apt,0,1,0,3,14,100
4148,DENVER,CO,Private room,0,1,0,2,1125,98
4149,CHICAGO,IL,Private room,400,2,5,4,1125,86
4150,NEW YORK,NY,Private room,0,1,28,4,14,100
4151,LOS ANGELES,CA,Entire home/apt,1000,3,20,1,60,92
4152,PORTLAND,OR,Entire home/apt,0,1,0,1,1125,95
4153,HONOLULU,HI,Private room,0,1,15,3,30,98
4154,BROOKLYN,NY,Entire home/apt,0,1,0,2,120,98
4155,SAN DIEGO,CA,Entire home/apt,300,1,0,5,90,96
4156,BROOKLYN,NY,Private room,0,1,20,2,365,98
4157,WAIMEA,HI,Entire home/apt,0,1,0,3,365,96
4158,SEATTLE,WA,Entire home/apt,500,4,50,1,1125,94
4159,NEW ORLEANS,LA,Private room,100,2,25,30,1125,95
4160,WASHINGTON,DC,Entire home/apt,200,1,0,2,30,87
4161,PLYMOUTH,MN,Entire home/apt,1600,14,250,3,150,100
4162,NASHVILLE,TN,Entire home/apt,300,1,0,1,180,95
4163,NASHVILLE,TN,Entire home/apt,150,2,10,1,1125,97
4164,KIHEI,HI,Entire home/apt,300,1,10,3,28,100
4165,KAILUA-KONA,HI,Entire home/apt,1000,10,20,5,1125,88
4166,WAIMEA,HI,Entire home/apt,500,1,0,4,1125,100
4167,SAN FRANCISCO,CA,Entire home/apt,300,1,0,30,365,100
4168,BRONX,NY,Entire home/apt,100,2,15,15,365,100
4169,LOS ANGELES,CA,Entire home/apt,400,2,25,2,30,96
4170,VENICE,CA,Entire home/apt,300,1,25,2,60,98
4171,NASHVILLE,TN,Entire home/apt,299,1,0,2,1125,96
4172,WATSONVILLE,CA,Entire home/apt,2000,10,100,7,1125,100
4173,CHICAGO,IL,Entire home/apt,0,1,0,1,21,98
4174,LOS ANGELES,CA,Entire home/apt,0,2,30,1,1125,98
4175,LAHAINA,HI,Entire home/apt,300,4,20,5,1125,100
4176,MINNEAPOLIS,MN,Private room,0,1,0,30,365,100
4177,KAILUA-KONA,HI,Private room,0,1,0,2,10,100
4178,LOS ANGELES,CA,Entire home/apt,250,2,35,30,1125,98
4179,SEATTLE,WA,Entire home/apt,5000,4,50,2,1124,97
4180,MINNEAPOLIS,MN,Entire home/apt,250,2,150,1,21,96
4181,QUEENS,NY,Private room,500,1,7,30,1125,90
4182,STATEN ISLAND,NY,Private room,0,1,5,2,365,87
4183,NASHVILLE,TN,Entire home/apt,0,1,0,1,1125,68
4184,VALLEY VILLAGE,CA,Entire home/apt,0,1,0,3,1125,97
4185,PORTLAND,OR,Entire home/apt,132,3,25,4,14,99
4186,OAKLAND,CA,Entire home/apt,0,11,0,3,1125,98
4187,NEW ORLEANS,LA,Entire home/apt,100,4,25,3,365,96
4188,AUSTIN,TX,Entire home/apt,0,1,0,1,1125,93
4189,SEATTLE,WA,Entire home/apt,0,2,35,1,6,96
4190,DENVER,CO,Entire home/apt,100,2,25,1,30,98
4191,LOS ANGELES,CA,Shared room,0,1,30,31,1125,95
4192,WASHINGTON,DC,Entire home/apt,150,1,0,2,30,96
4193,NEW YORK,NY,Private room,777,1,100,30,60,100
4194,SAN DIEGO,CA,Entire home/apt,100,1,0,1,1125,93
4195,AUSTIN,TX,Entire home/apt,0,1,0,2,1125,90
4196,BROOKLYN,NY,Entire home/apt,0,4,0,2,1125,97
4197,MILPITAS,CA,Private room,0,1,20,1,90,99
4198,QUEENS,NY,Entire home/apt,0,2,8,14,1125,99
4199,BROOKLYN,NY,Private room,0,1,0,1,3,96
4200,NEW ORLEANS,LA,Entire home/apt,0,1,0,2,1125,97
4201,SAN DIEGO,CA,Entire home/apt,150,2,50,1,730,100
4202,SAINT PAUL,MN,Entire home/apt,0,1,0,1,1125,99
4203,BROOKLYN,NY,Private room,0,2,30,2,31,97
4204,NEW ORLEANS,LA,Entire home/apt,0,2,20,4,90,97
4205,SAN FRANCISCO,CA,Private room,500,2,79,30,360,98
4206,SANTA CRUZ,CA,Entire home/apt,1000,1,0,2,90,92
4207,SAN FRANCISCO,CA,Entire home/apt,100,2,25,30,1125,97
4208,PORTLAND,OR,Entire home/apt,500,2,25,2,1124,99
4209,LOS ANGELES,CA,Entire home/apt,0,1,0,2,27,96
4210,BROOKLYN,NY,Private room,0,1,25,3,30,100
4211,NEW YORK,NY,Private room,0,1,0,3,30,100
4212,NEW ORLEANS,LA,Entire home/apt,0,1,0,2,1125,97
4213,WASHINGTON,DC,Private room,0,2,25,2,1125,97
4214,MINNEAPOLIS,MN,Entire home/apt,0,2,10,2,1125,98
4215,KIHEI,HI,Entire home/apt,0,1,0,5,60,93
4216,LAHAINA,HI,Entire home/apt,0,2,0,1,1125,100
4217,BROOKLYN,NY,Entire home/apt,250,7,0,7,62,100
4218,CHICAGO,IL,Entire home/apt,500,2,5,30,1124,100
4219,CHICAGO,IL,Entire home/apt,0,4,15,2,28,97
4220,LOS ANGELES,CA,Private room,100,2,10,30,60,99
4221,NEW ORLEANS,LA,Entire home/apt,200,1,0,3,30,100
4222,CHICAGO,IL,Entire home/apt,500,8,50,2,1125,93
4223,KOLOA,HI,Entire home/apt,0,4,0,3,1125,100
4224,BROOKLYN,NY,Private room,0,1,0,60,180,90
4225,SAN FRANCISCO,CA,Entire home/apt,500,2,150,30,90,96
4226,GLENDALE,CA,Entire home/apt,250,2,15,2,1125,97
4227,CHANHASSEN,MN,Entire home/apt,0,1,0,1,180,97
4228,NEW YORK,NY,Entire home/apt,300,2,30,1,1125,87
4229,SANTA MONICA,CA,Entire home/apt,1000,1,0,31,1125,100
4230,NEW YORK,NY,Private room,0,1,15,3,1124,95
4231,SEATTLE,WA,Private room,250,1,0,30,42,94
4232,HONOLULU,HI,Entire home/apt,0,2,17,1,365,100
4233,PORTLAND,OR,Entire home/apt,250,5,25,2,1125,98
4234,NEW YORK,NY,Entire home/apt,0,1,5,30,1125,100
4235,AUSTIN,TX,Entire home/apt,0,1,0,2,20,100
4236,SAN FRANCISCO,CA,Private room,200,1,0,1,1125,87
4237,BROOKLYN,NY,Entire home/apt,5000,1,20,1,1125,95
4238,MINNEAPOLIS,MN,Private room,200,1,25,4,90,93
4239,PORTLAND,OR,Entire home/apt,0,2,10,1,28,97
4240,SAN FRANCISCO,CA,Entire home/apt,0,1,0,30,1125,100
4241,LOS ANGELES,CA,Entire home/apt,100,1,0,2,30,99
4242,BROOKLYN,NY,Private room,0,1,0,1,6,100
4243,BROOKLYN,NY,Entire home/apt,0,1,0,3,1125,100
4244,NEW YORK,NY,Private room,300,1,30,1,1125,93
4245,FLUSHING,NY,Private room,0,2,10,3,365,88
4246,KOLOA,HI,Entire home/apt,100,1,0,2,15,96
4247,OAKLAND,CA,Entire home/apt,1000,4,50,30,1125,95
4248,SEATTLE,WA,Entire home/apt,100,1,0,4,1125,100
4249,AUSTIN,TX,Entire home/apt,0,12,50,2,120,91
4250,BROOKLYN,NY,Shared room,150,1,0,4,10,99
4251,NASHVILLE,TN,Entire home/apt,0,1,0,1,1125,98
4252,LOS ANGELES,CA,Entire home/apt,100,1,0,30,60,95
4253,MILLBRAE,CA,Private room,100,1,20,1,1125,95
4254,HONOLULU,HI,Entire home/apt,250,2,15,14,180,97
4255,BROOKLYN,NY,Entire home/apt,100,5,50,1,14,91
4256,BOSTON,MA,Entire home/apt,300,1,0,2,500,87
4257,BROOKLYN,NY,Private room,100,1,0,30,90,96
4258,WASHINGTON,DC,Private room,0,1,5,2,7,100
4259,SAN FRANCISCO,CA,Private room,0,1,0,1,12,99
4260,NEW YORK,NY,Private room,300,2,50,2,14,100
4261,NEW ORLEANS,LA,Entire home/apt,100,3,0,1,30,93
4262,SEATTLE,WA,Entire home/apt,0,1,0,30,30,87
4263,OAKLAND,CA,Entire home/apt,750,4,25,7,60,100
4264,VENICE,CA,Entire home/apt,0,1,20,30,30,98
4265,NEW YORK,NY,Entire home/apt,0,1,0,1,1125,91
4266,SANTA CLARA,CA,Private room,500,1,0,30,365,90
4267,WASHINGTON,DC,Private room,0,1,10,3,1125,100
4268,BRONX,NY,Private room,0,1,12,1,1125,99
4269,SAN DIEGO,CA,Entire home/apt,0,1,0,3,365,100
4270,NASHVILLE,TN,Entire home/apt,115,1,0,3,1124,98
4271,SAN DIEGO,CA,Entire home/apt,300,1,10,3,120,20
4272,EL SEGUNDO,CA,Entire home/apt,0,1,0,30,1125,100
4273,ALTADENA,CA,Private room,0,1,10,1,29,98
4274,LAHAINA,HI,Entire home/apt,0,1,0,3,1125,90
4275,LOS ANGELES,CA,Entire home/apt,750,2,0,30,1125,96
4276,NEW YORK,NY,Entire home/apt,1500,4,25,4,200,100
4277,LOS ANGELES,CA,Entire home/apt,250,1,20,1,1125,99
4278,NASHVILLE,TN,Entire home/apt,500,6,30,2,1124,99
4279,NASHVILLE,TN,Shared room,500,1,100,1,28,97
4280,BROOKLYN ,NY,Entire home/apt,0,6,100,2,1125,93
4281,CHICAGO,IL,Entire home/apt,200,4,34,1,1125,87
4282,NEW YORK,NY,Private room,0,2,30,1,1125,70
4283,TOPANGA,CA,Entire home/apt,500,1,45,2,13,100
4284,HONOLULU,HI,Entire home/apt,350,6,10,30,1125,96
4285,HONOLULU,HI,Private room,200,2,10,1,1125,100
4286,WASHINGTON,DC,Entire home/apt,500,1,0,30,1125,80
4287,KAUNAKAKAI,HI,Entire home/apt,0,1,0,3,1125,100
4288,WASHINGTON,DC,Private room,0,1,15,1,30,95
4289,LOS ANGELES,CA,Entire home/apt,0,4,30,105,1125,100
4290,WASHINGTON,DC,Entire home/apt,500,2,25,2,7,100
4291,LAHAINA,HI,Entire home/apt,0,1,0,2,180,98
4292,SOUTH OZONE PARK,NY,Private room,100,1,10,1,2,100
4293,BOSTON,MA,Entire home/apt,999,1,0,1,1125,100
4294,SAN FRANCISCO,CA,Entire home/apt,0,2,15,2,1125,100
4295,LOS ANGELES,CA,Entire home/apt,110,5,20,3,30,95
4296,BOSTON,MA,Entire home/apt,3000,2,0,30,1125,90
4297,DENVER,CO,Entire home/apt,0,1,0,1,180,98
4298,NASHVILLE,TN,Entire home/apt,100,6,0,2,30,96
4299,NEW ORLEANS,LA,Entire home/apt,0,1,0,1,1125,99
4300,SEATTLE,WA,Private room,300,1,10,1,13,84
4301,OAKLAND,CA,Entire home/apt,2500,6,50,2,45,98
4302,MINNEAPOLIS,MN,Entire home/apt,500,2,35,1,90,98
4303,INGLEWOOD,CA,Entire home/apt,250,2,0,2,12,95
4304,NASHVILLE,TN,Private room,100,1,0,2,1125,97
4305,QUEENS,NY,Entire home/apt,100,4,30,3,1125,95
4306,BROOKLYN,NY,Entire home/apt,200,2,25,3,1125,93
4307,NASHVILLE,TN,Entire home/apt,350,5,25,7,120,100
